Category;TechnicalInterestArea;CourseCode;GraduateLevel;CourseName;LectureHours;Laboratory hours;CreditHours;TotalHours;"Fall
2023";"Spring
2024";"Summer
2024";"Fall
2024";"Spring
2025"
BioEngineering;None;ECE 4781 ;No; Biomedical Instrumentation;3;0;0;3;X;;;X;
BioEngineering;None;ECE 4784 ;No; Engineering Electrophysiology;3;0;0;3;X;;;X;
BioEngineering;None;ECE 4782 ;No; Biosystems Analysis;3;0;0;3;;X;;;X
BioEngineering;None;ECE 4781 ;No; Biomedical Instrumentation;3;0;0;3;X;;;X;
BioEngineering;None;ECE 4784 ;No; Engineering Electrophysiology;3;0;0;3;X;;;X;
BioEngineering;None;ECE 4782 ;No; Biosystems Analysis;3;0;0;3;;X;;;X
BioEngineering;None;ECE 4350 ;No; Electromagnetic & Microwave Applications;3;0;0;3;X;X;;X;X
BioEngineering;None;ECE 4435 ;No; Operational Amplifier Design;2;0;3;3;;X;;;
BioEngineering;None;ECE 4370 ;No; Antenna Engineering;3;0;0;3;X;;;X;
Electric Energy Systems;None;ECE 4320 ;No; Power System Analysis and Control;3;0;0;3;X;;;X;
Electric Energy Systems;None;ECE 4321 ;No; Power System Engineering;3;0;0;3;;X;;;X
Electric Energy Systems;None;ECE 4325 ;No; Electric Power Quality;3;0;0;3;;;;;
Electric Energy Systems;None;ECE 4330 ;No; Power Electronics;3;0;0;3;X;;;X;
Electric Energy Systems;None;ECE 4335 ;No; Electric Machinery Analysis;3;0;0;3;;;;;
Sensing & Exploration;None;ECE 4390 ;No; Introduction to Radars and Remote Sensing & Exploration;3;0;0;3;X;X;;X;X
Sensing & Exploration;None;ECE 4260 ;No; Random Signals and Applications;3;0;0;3;X;;;X;
Sensing & Exploration;None;ECE 4350 ;No; Electromagnetic & Microwave Applications;3;0;0;3;X;X;;X;X
Sensing & Exploration;None;ECE 4370 ;No; Antenna Engineering;3;0;0;3;X;;;X;
Sensing & Exploration;None;ECE 4580 ;No; Computer Vision;3;0;0;3;;;;X;
Sensing & Exploration;None;ECE 4781 ;No; Biomedical Instrumentation;3;0;0;3;X;;;X;
Other Undergraduate Electives;None;ECE 4053 ;No; Research Methods;2;0;0;2;;X;;;X
Other Undergraduate Electives;None;ECE 4371 ;No;Antenna Engineering Lab;0;0;3;1;X;;;X;
Other Undergraduate Electives;None;ECE 4418 ;No; RF Engineering II;3;0;0;3;;;;;
Other Undergraduate Electives;None;ECE 4445 ;No; Audio Engineering;3;0;0;3;X;;;X;
Other Undergraduate Electives;None;ECE 4446 ;No; Audio Engineering Laboratory;0;0;3;1;X;;;X;
Other Undergraduate Electives;None;ECE 4448 ;No; Guitar Amplification and Effects (formerly ECE 4803 GAE);2;0;3;3;;X;;;
Other Undergraduate Electives;None;ECE 4450 ;No; Analog Circuits for Music Synthesis;2;0;3;3;;;;;X
Other Undergraduate Electives;None;ECE 4803 (CSD) ;No; Cybersecurity of Drones;3;0;0;3;;X;;;X
Other Undergraduate Electives;None;ECE 4803 (CME) ;No; Computational Methods;3;0;0;3;;X;;;
Other Undergraduate Electives;None;ECE 4803 (QSM) ;No;Nanoelectronics: Quantum and Statistical Mechanical;3;0;0;3;;;;X;
Other Undergraduate Electives;None;ECE 4803 (WOB) ;No; Wireless Power Transmission and Sensing Systems;3;0;0;3;;X;;;
Other Undergraduate Electives;None;ECE 4804 VLS ;No; VLSI Design: Theory to Tapeout;3;0;3;4;X;;;X;
Other Undergraduate Electives;None;ECE 4053 ;No; Research Methods;2;0;0;2;;X;;;X
